thread,activation,varDict,count,lock,kind,scope,executable,line,prefix,source,package,raw
"T1","A15","V7","00001","*","method","infinity","INIT","75","*-*","use strict arg objectName, direction","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">>>","""The complex infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">=>","OBJECTNAME <= ""The complex infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">>>","""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">=>","DIRECTION <= ""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT","76","*-*","self~objectName = objectName","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">V>","SELF => ""an infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">V>","OBJECTNAME => ""The complex infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">A>","""The complex infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT","77","*-*","self~direction = direction","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">V>","SELF => ""The complex infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">V>","DIRECTION => ""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">A>","""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7","00001","*","method","infinity","INIT",".",">>>","""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">M>","""NEW"" => ""The complex infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">A>","""The complex infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">>>","""The complex infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE","35","*-*","self~negative~opposite = self~positive","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">V>","SELF => ""The infinity class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">M>","""NEGATIVE"" => ""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">V>","SELF => ""The infinity class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">M>","""POSITIVE"" => ""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
